,Crime_ID,Theft_Type
1276,1996,Theft of Vehicle
1277,1997,Theft of Vehicle
1278,2001,Theft from Vehicle
1280,2003,Theft of Vehicle
1282,2005,Theft of Vehicle
1285,2009,Theft from Vehicle
1288,2017,Theft from Vehicle
1290,2020,Theft of Vehicle
1291,2021,Theft of Bicycle
1292,2022,Theft of Vehicle
1293,2023,Theft of Vehicle
1294,2025,Theft from Vehicle
1295,2028,Theft from Vehicle
1296,2029,Theft from Vehicle
1298,2031,Theft of Vehicle
1299,2032,Theft of Vehicle
1301,2034,Theft from Vehicle
1302,2037,Theft from Vehicle
1303,2039,Theft from Vehicle
1304,2040,Theft of Vehicle
1305,2041,Theft of Vehicle
1309,2049,Theft of Vehicle
1313,2055,Theft from Vehicle
1314,2056,Theft from Vehicle
1318,2071,Theft from Vehicle
1319,2072,Theft of Bicycle
1320,2073,Theft of Bicycle
1321,2074,Other Theft
1322,2075,Theft from Vehicle
1323,2076,Theft from Vehicle
1326,2081,Theft from Vehicle
1327,2082,Theft from Vehicle
1328,2083,Theft from Vehicle
1333,2092,Theft from Vehicle
1335,2094,Theft of Vehicle
1336,2095,Theft of Vehicle
1337,2099,Theft from Vehicle
1338,2100,Theft from Vehicle
1339,2101,Theft from Vehicle
1341,2103,Theft of Vehicle
1342,2105,Theft of Vehicle
1344,2107,Theft from Vehicle
1346,2109,Theft from Vehicle
1347,2110,Theft from Vehicle
1349,2113,Theft from Vehicle
1351,2125,Theft from Vehicle
1352,2127,Theft from Vehicle
1354,2129,Theft from Vehicle
1355,2130,Theft from Vehicle
1356,2131,Theft from Vehicle
1357,2132,Theft from Vehicle
1359,2134,Theft of Vehicle
1360,2136,Theft from Vehicle
1361,2137,Theft of Bicycle
1363,2141,Theft from Vehicle
1364,2142,Theft from Vehicle
1365,2143,Theft of Vehicle
1366,2145,Theft from Vehicle
1367,2146,Theft from Vehicle
1368,2147,Theft from Vehicle
1369,2148,Theft from Vehicle
1370,2150,Theft from Vehicle
1371,2151,Theft from Vehicle
